store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
baseline_control,2,57,5,2019,28.48,1.5
baseline_control,26,59,7,2019,26.98,1.5
baseline_control,21,60,8,2019,26.98,1.5
baseline_control,14,65,13,2019,25.48,1.5
baseline_control,30,66,1,2020,26.98,1.5
baseline_control,16,71,6,2020,26.98,1.5
baseline_control,30,74,9,2020,26.98,1.5
baseline_control,30,47,8,2018,33.23,1.75
baseline_control,27,49,10,2018,33.23,1.75
baseline_control,35,53,1,2019,31.48,1.75
baseline_control,26,57,5,2019,31.48,1.75
baseline_control,30,60,8,2019,31.48,1.75
baseline_control,37,64,12,2019,33.23,1.75
baseline_control,13,65,13,2019,29.73,1.75
baseline_control,1,70,5,2020,29.73,1.75
baseline_control,24,70,5,2020,36.73,1.75
baseline_control,37,74,9,2020,31.48,1.75
baseline_control,24,75,10,2020,36.73,1.75
film_control,9,46,7,2018,28.23,2
baseline_control,37,46,7,2018,33.48,2
baseline_control,12,59,7,2019,35.48,2
baseline_control,12,63,11,2019,35.98,2
baseline_control,20,63,11,2019,35.98,2
baseline_control,37,63,11,2019,37.98,2
program_test,11,66,1,2020,35.98,2
baseline_control,14,67,2,2020,33.73,2
film_control,9,70,5,2020,32.73,2
baseline_control,2,70,5,2020,37.98,2
film_control,38,71,6,2020,32.23,2
baseline_control,22,75,10,2020,37.98,2
baseline_control,16,76,11,2020,35.98,2
baseline_control,18,45,6,2018,38.23,2.25
film_control,33,46,7,2018,32.98,2.25
baseline_control,16,50,11,2018,38.23,2.25
baseline_control,22,55,3,2019,40.48,2.25
program_test,11,58,6,2019,39.48,2.25
baseline_control,6,58,6,2019,40.48,2.25
baseline_control,26,61,9,2019,40.48,2.25
baseline_control,12,66,1,2020,40.48,2.25
baseline_control,12,67,2,2020,40.48,2.25
baseline_control,24,68,3,2020,47.23,2.25
baseline_control,20,71,6,2020,42.73,2.25
baseline_control,30,73,8,2020,40.48,2.25
program_test,36,75,10,2020,38.23,2.25
baseline_control,29,76,11,2020,35.98,2.25
baseline_control,3,48,9,2018,47.48,2.5
baseline_control,19,49,10,2018,47.48,2.5
program_test,5,50,11,2018,39.98,2.5
baseline_control,21,53,1,2019,44.97,2.5
baseline_control,7,57,5,2019,44.97,2.5
baseline_control,24,57,5,2019,49.98,2.5
film_control,33,57,5,2019,42.47,2.5
baseline_control,6,59,7,2019,44.98,2.5
film_control,33,60,8,2019,41.72,2.5
program_test,36,60,8,2019,40.97,2.5
film_control,41,68,3,2020,44.97,2.5
baseline_control,25,76,11,2020,44.98,2.5
baseline_control,13,76,11,2020,39.98,2.5
baseline_control,21,76,11,2020,44.97,2.5
baseline_control,30,50,11,2018,46.72,2.75
baseline_control,28,52,13,2018,51.97,2.75
program_test,5,53,1,2019,43.97,2.75
baseline_control,35,56,4,2019,47.47,2.75
baseline_control,30,63,11,2019,49.47,2.75
baseline_control,29,64,12,2019,41.22,2.75
baseline_control,31,67,2,2020,52.22,2.75
baseline_control,32,70,5,2020,57.72,2.75
baseline_control,15,73,8,2020,49.47,2.75
baseline_control,12,73,8,2020,49.47,2.75
baseline_control,20,74,9,2020,49.47,2.75
baseline_control,24,56,4,2019,51.97,3
baseline_control,35,64,12,2019,53.97,3
baseline_control,26,65,13,2019,55.22,3
baseline_control,18,67,2,2020,62.97,3
baseline_control,15,68,3,2020,53.97,3
baseline_control,22,69,4,2020,56.97,3
baseline_control,26,72,7,2020,53.97,3
baseline_control,18,75,10,2020,62.97,3
baseline_control,21,75,10,2020,53.97,3
baseline_control,7,50,11,2018,55.22,3.25
program_test,11,51,12,2018,58.22,3.25
baseline_control,35,59,7,2019,58.47,3.25
baseline_control,6,60,8,2019,58.47,3.25
baseline_control,7,62,10,2019,57.47,3.25
baseline_control,31,64,12,2019,58.47,3.25
film_control,33,70,5,2020,54.47,3.25
baseline_control,4,47,8,2018,66.46,3.5
film_control,38,53,1,2019,55.97,3.5
program_test,5,62,10,2019,59.46,3.5
baseline_control,6,64,12,2019,62.96,3.5
baseline_control,25,68,3,2020,62.96,3.5
program_test,11,70,5,2020,60.46,3.5
program_test,36,71,6,2020,56.47,3.5
baseline_control,23,46,7,2018,62.96,3.75
program_test,36,55,3,2019,64.96,3.75
